Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MFT (22) - System performs a legitimate deposit transaction properly,CVGI-46,10059,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,,1,1.1,,,,0,"Initial state of the system: System is requesting that customer insert an envelope
 
 Steps to reproduce:Â 
 
 # Insert an envelope
 
 The expected outcome: System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope)
 
 The actual outcome: System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope)
 
 Pass/Fail:
 
 Fail",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,In Progress
MFT (21) - System asks customer to insert an envelope,CVGI-44,10057,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying a request for the customer to type a dollar amount
 
 Steps to reproduce:Â 
 
 # Enter a legitimate dollar amount
 
 The expected outcome: System requests that customer insert an envelope
 
 The actual outcome: System requests that customer insert an envelope
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,Done
MFT (40) - Correct re-entry of PIN on the third try is accepted,CVGI-33,10046,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â Request to re-enter PIN is being displayed.
 
 Steps to reproduce:Â Enter incorrect PIN the first time and second times, then correct PIN the third time.
 
 The expected outcome: Original transaction completes successfully.
 
 The actual outcome: Customer is asked to re-enter PIN after correctly entering PIN, prompted to enter the PIN again.
 
 Pass/Fail: Fail",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,In Progress
MFT (10) - Session ends when customer chooses not to do another transaction,CVGI-32,10045,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is asking whether customer wants another transaction
 
 Steps to reproduce:Â 
 
 Answer no
 
 The expected outcome:
 
 System ejects card and is ready to start a new session
 
 The actual outcome:
 
 The system ejects the card and is ready for another session to begin as it promps the user to insert their card
 
 Pass/Fail:
 
 Pass",Version 1.0,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,,,,,,,,Done
MFT (39) - Correct re-entry of PIN on the second try is accepted,CVGI-31,10044,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â Request to re-enter PIN is being displayed.
 
 Steps to reproduce:Â Enter incorrect PIN the first time, then correct PIN the second time.
 
 The expected outcome: Original transaction completes successfully.
 
 The actual outcome: Customer is asked to re-enter PIN after correctly entering PIN, prompted to enter the PIN again.
 
 Pass/Fail: Fail",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,,,26/Jan/23 6:03 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (9) - System allows multiple transactions in one session,CVGI-30,10043,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is asking whether customer wants another transaction
 
 Steps to reproduce:Â 
 
 Answer yes
 
 The expected outcome:
 
 System displays a menu of transaction types
 
 The actual outcome:
 
 The system moves onto a menu that asks for the transaction type
 
 Pass/Fail:
 
 Pass",Version 1.0,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,,,,Done
MFT (38) - Incorrect re-entry of PIN is not accepted,CVGI-29,10042,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â Request to re-enter PIN is being displayed.
 
 Steps to reproduce:Â Enter incorrect PIN
 
 The expected outcome: An appropriate message is displayed and re-entry of the PIN is again requested.
 
 The actual outcome: â€œPIN was incorrect Please re-enter your PIN Then press ENTERâ€.
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,,,,,,,,,,Done
MFT (8) - System allows customer to perform a transaction,CVGI-28,10041,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is displaying menu of transaction types
 
 Steps to reproduce:Â 
 
 Perform a transaction
 
 The expected outcome:
 
 System asks whether customer wants another transaction
 
 The actual outcome:
 
 The system creates a log, creates a receipt and asks the user if the would like to do another transaction with the message of ""wood you like to do another transaction?""
 
 Pass/Fail:
 
 Pass",Version 1.0,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,Done
MFT (37) - Correct re-entry of PIN is accepted,CVGI-27,10040,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â Request to re-enter PIN is being displayed.
 
 Steps to reproduce:Â Enter correct PIN.
 
 The expected outcome: Original transaction completes successfully
 
 The actual outcome: Customer is asked to re-enter PIN after correctly entering PIN, prompted to enter the PIN again. 
 
 Pass/Fail: Fail",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,26/Jan/23 6:02 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (7) - System accepts customer's PIN,CVGI-26,10039,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is asking for entry of PIN
 
 Steps to reproduce:Â 
 
 Enter a PIN
 
 The expected outcome:
 
 System displays a menu of transaction types
 
 The actual outcome:
 
 The system moves onto a menu that asks for the transaction type that the user would like to do
 
 Pass/Fail:
 
 Pass",Version 1.0,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,Done
MFT (36) - Customer is asked to reenter PIN,CVGI-25,10038,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â System is asking for entry of PIN.
 
 Steps to reproduce:Â Enter an incorrect PIN; Attempt an inquiry transaction on the customer's checking account.
 
 The expected outcome: Customer is asked to re-enter PIN.
 
 The actual outcome: â€œPIN was incorrect Please re-enter your PIN Then press ENTERâ€.
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,Done
MFT (6) - System rejects an unreadable card,CVGI-24,10037,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is on and not servicing a customer
 
 Steps to reproduce:Â 
 
 Insert an unreadable card
 
 The expected outcome:
 
 Card is ejected; System displays an error screen; System is ready to start a new session
 
 The actual outcome:
 
 When an unreadable card is used the card is ejected with a message stating ""unable to read card"". Afterwards, the system restores back to the page where it asks the user to insert their card
 
 Pass/Fail:
 
 Pass",Version 1.0,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,Done
MFT (5) - System reads a customer's ATM card,CVGI-23,10036,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is on and not servicing a customer
 
 Steps to reproduce:Â 
 
 Insert a readable card
 
 The expected outcome:
 
 Card is accepted; System asks for entry of PIN
 
 The actual outcome:
 
 The card is accepted and the system asks the user to input the PIN with the message ""please enter your PIN then press ENTER""
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,Done
MFT (35) - An inquiry transaction can be cancelled by the customer any time prior to choosing an account,CVGI-22,10035,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â System is displaying menu of account types.
 
 Steps to reproduce:Â Press ""Cancel"" key.
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€.
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,Done
"MFT (4) - System is shut down when the switch is turned â€œoff""",CVGI-21,10034,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is on and not servicing a customer
 
 Steps to reproduce:Â 
 
 Activate the ""off"" switch
 
 The expected outcome:
 
 System is off
 
 The actual outcome:
 
 System turns off with the message of ""Not currently available""
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,Done
MFT (34) - System performs a legitimate inquiry transaction properly,CVGI-20,10033,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â System is displaying menu of account types
 
 Steps to reproduce:Â Choose checking account
 
 The expected outcome: System prints a correct receipt showing correct balance; System records transaction correctly in the log (showing both message to the bank and approval back)
 
 The actual outcome: System prints an incorrect receipt (card number 1 value higher than it is), shows correct balance; System records transaction correctly in the log (showing both message to the bank and approval back).
 
 Pass/Fail:",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,26/Jan/23 5:59 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (3) - Connection to the bank is established,CVGI-19,10032,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â 
 
 System has just been turned on
 
 Steps to reproduce:Â 
 
 Perform a legitimate inquiry transaction
 
 The expected outcome:
 
 System output should demonstrate that a connection has been established to the Bank
 
 The actual outcome:
 
 System does not have a notification stating that there is a connection to the bank. This was stated because there was nothing within the log stating that there was a connection with the bank as well as how there was no physical message
 
 Pass/Fail:
 
 Fail",,Christopher Luk,Maxwell Kepler,63d2fa8ece7f4b4e14fa6145,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,06:06.6,26/Jan/23 6:06 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (33) - System asks customer to choose an account to inquire about,CVGI-18,10031,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,1,,1.1,,,0,"Initial state of the system:Â Menu of transaction types is being displayed
 
 Steps to reproduce:Â Choose Inquiry transaction
 
 The expected outcome: System displays a menu of account types
 
 The actual outcome: System doesn't display the option to inquire from the Saving account
 
 Pass/Fail: Fail",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,Done
MFT (2) - System accepts initial cash amount,CVGI-17,10030,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is requesting cash amount
 
 Steps to reproduce:Â 
 
 Enter a legitimate amount
 
 The expected outcome:
 
 System is on
 
 The actual outcome:
 
 System turns on
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,Done
MFT (32) - A transfer transaction can be cancelled by the customer any time prior to entering dollar amount,CVGI-16,10029,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â System is requesting customer to enter a dollar amount
 
 Steps to reproduce:Â Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,Done
"MFT (1) - System is started when the switch is turned ""on""",CVGI-15,10028,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 System is off
 
 Steps to reproduce: 
 
 Activate the ""on"" switch
 
 The expected outcome:
 
 System requests initial cash amount
 
 The actual outcome:
 
 System requests the initial amount fo cash in increments of $20 bills
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,Done
MFT (31) - A transfer transaction can be cancelled by the customer any time prior to entering dollar amount,CVGI-14,10027,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of account types specifying transfer to
 
 Steps to reproduce: Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,Done